,image,inference time,label,index,value,boxes
0,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000182611.jpg,0.03769245801959187,"['45: bowl', '45: bowl', '55: cake']","[45, 45, 55]","[0.43008676, 0.40719485, 0.35051736]","[[322.21, 556.33, 91.48, 83.76], [184.24, 496.84, 153.16, 134.1], [204.09, 374.1, 56.4, 62.49]]"
1,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000335177.jpg,0.03140475001418963,['5: bus'],[5],[0.8194205],"[[185.91, 300.83, 123.45, 40.84]]"
2,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000278705.jpg,0.031328750017564744,"['36: skateboard', '0: person', '0: person', '36: skateboard']","[36, 0, 0, 36]","[0.8110306, 0.63688534, 0.5373628, 0.51509726]","[[106.64, 280.81, 78.15, 22.16], [84.39, 111.48, 120.96, 177.82], [352.86, 124.91, 139.08, 206.27], [336.92, 313.92, 91.43, 25.11]]"
3,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000463618.jpg,0.032543124980293214,"['62: tv', '0: person']","[62, 0]","[0.84348446, 0.26954287]","[[94.14, 0.26, 229.39, 123.97], [287.58, 6.34, 280.96, 423.18]]"
4,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000568981.jpg,0.03205266600707546,"['0: person', '36: skateboard']","[0, 36]","[0.90160376, 0.66616786]","[[562.55, 3.46, 75.89, 225.98], [581.67, 218.56, 58.86, 28.74]]"
5,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000092416.jpg,0.03206241596490145,"['0: person', '0: person', '0: person', '27: tie', '8: boat']","[0, 0, 0, 27, 8]","[0.7242757, 0.58088875, 0.568677, 0.4124159, 0.34615391]","[[441.12, 305.47, 38.29, 336.93], [2.49, 215.0, 44.0, 69.4], [55.41, 82.58, 306.83, 558.57], [240.28, 263.7, 63.35, 186.19], [32.37, 161.25, 150.09, 96.36]]"
6,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000173830.jpg,0.03272474999539554,['0: person'],[0],[0.6970115],"[[192.8, 185.06, 245.76, 398.19]]"
7,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000476215.jpg,0.03356191702187061,"['0: person', '17: horse', '17: horse']","[0, 17, 17]","[0.80615383, 0.44597992, 0.44468066]","[[277.21, 98.45, 38.22, 103.56], [97.22, 82.6, 147.89, 136.03], [16.61, 70.24, 131.3, 147.75]]"
8,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000479126.jpg,0.03396454203175381,"['0: person', '0: person', '63: laptop', '28: suitcase']","[0, 0, 63, 28]","[0.76630306, 0.6660912, 0.5795943, 0.3413182]","[[332.01, 163.11, 257.34, 267.8], [102.77, 147.04, 114.89, 269.61], [256.65, 301.75, 165.69, 126.61], [542.22, 262.81, 97.42, 117.56]]"
9,/Users/marounel-chayeb/BacArbeit/cocoval2017/000000570664.jpg,0.03193433297565207,"['0: person', '67: cell phone']","[0, 67]","[0.5087721, 0.32269216]","[[-0.17, 20.08, 109.76, 308.12], [169.49, 136.36, 20.43, 28.77]]"
