,image,inference time,label1,index1,value1,label2,index2,value2,label3,index3,value3,label4,index4,value4,label5,index5,value5
0,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00006427.JPEG,0.004979917001037393,hippopotamus,344,0.002459877170622349,oxcart,690,0.0025511267594993114,ram,348,0.00417648209258914,water buffalo,346,0.9094662070274353,ox,345,0.03946041315793991
1,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00009228.JPEG,0.004701917001511902,unicycle,880,0.020087555050849915,mountain bike,671,0.04407307133078575,moped,665,0.06948501616716385,tricycle,870,0.20606037974357605,bicycle-built-for-two,444,0.5822733044624329
2,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00001618.JPEG,0.004496207999181934,black widow,75,0.0010637668892741203,spider web,815,0.012935834936797619,barn spider,73,0.01593087427318096,black and gold garden spider,72,0.7218474745750427,garden spider,74,0.19092462956905365
3,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00003625.JPEG,0.004451584001799347,gazelle,353,0.02815270610153675,chainlink fence,489,0.031954314559698105,walking stick,313,0.04666135832667351,pole,733,0.054086584597826004,birdhouse,448,0.07676059752702713
4,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00002937.JPEG,0.004647375000786269,thatch,853,0.005689719691872597,shovel,792,0.009034520015120506,paintbrush,696,0.03135323151946068,swab,840,0.15114448964595795,broom,462,0.7063010334968567
5,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00006077.JPEG,0.004757500002597226,kelpie,227,0.006337205413728952,English springer,217,0.03574950620532036,Welsh springer spaniel,218,0.036343175917863846,Brittany spaniel,215,0.7438799738883972,Ibizan hound,173,0.03720233589410782
6,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00009382.JPEG,0.00442829200255801,strawberry,949,0.006802743300795555,American lobster,122,0.014247152954339981,meat loaf,962,0.6998206973075867,rotisserie,766,0.028585907071828842,butcher shop,467,0.03406127169728279
7,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00009678.JPEG,0.004399208999529947,beer glass,441,0.03781933709979057,slot,800,0.057595107704401016,wine bottle,907,0.050620269030332565,cocktail shaker,503,0.06823766231536865,beer bottle,440,0.08791222423315048
8,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00001248.JPEG,0.004567791002045851,bathing cap,433,0.05446989834308624,Indian elephant,385,0.07110191881656647,ox,345,0.09442111849784851,water buffalo,346,0.16041290760040283,oxcart,690,0.1560729444026947
9,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00003275.JPEG,0.004456875001778826,sea lion,150,0.0016613597981631756,quill,749,0.003782021813094616,killer whale,148,0.971585750579834,great white shark,2,0.0019335263641551137,grey whale,147,0.0040265400893986225
10,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00007236.JPEG,0.004449000000022352,German shepherd,235,0.02942165732383728,Airedale,191,0.03321787342429161,Irish terrier,184,0.0540144257247448,black-and-tan coonhound,165,0.06125880405306816,miniature pinscher,237,0.601533830165863
11,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00008439.JPEG,0.004400000001623994,hippopotamus,344,0.050096817314624786,brown bear,294,0.059220295399427414,water buffalo,346,0.1259252429008484,otter,360,0.1698620617389679,Chesapeake Bay retriever,209,0.19848965108394623
12,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00002034.JPEG,0.004600125001161359,radio,754,0.04419713094830513,tape player,848,0.4760470688343048,cassette player,482,0.18658491969108582,cassette,481,0.09144383668899536,CD player,485,0.12502537667751312
13,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00000009.JPEG,0.00445679100084817,corn,987,0.03278747573494911,triceratops,51,0.03404070436954498,agama,42,0.038767725229263306,house finch,12,0.12684600055217743,African chameleon,47,0.06347370892763138
14,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00007666.JPEG,0.0044064169997000135,studio couch,831,0.04252256825566292,cradle,516,0.04680052772164345,desk,526,0.04825538396835327,microwave,651,0.05080565810203552,medicine chest,648,0.107059046626091
15,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00004949.JPEG,0.004712417001428548,projector,745,0.02527785114943981,vacuum,882,0.030621152371168137,cannon,471,0.03299013897776604,dumbbell,543,0.4477464556694031,barbell,422,0.09403454512357712
16,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00006974.JPEG,0.0045205000023997854,notebook,681,0.0006017897394485772,television,851,0.0007008392713032663,tub,876,0.0009030592045746744,bathtub,435,0.0019689633045345545,pool table,736,0.9839982986450195
17,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00008593.JPEG,0.004514832999120699,ptarmigan,81,0.006613252684473991,great grey owl,24,0.008171114139258862,coucal,91,0.8345867395401001,limpkin,135,0.00953232403844595,ruffed grouse,82,0.019950268790125847
18,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00008069.JPEG,0.00463304199729464,mantis,315,0.01600748859345913,leafhopper,317,0.019274497404694557,lacewing,318,0.2571994960308075,grasshopper,311,0.04399207979440689,cricket,312,0.2111055999994278
19,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00002464.JPEG,0.0046988750000309665,impala,352,0.0013962996890768409,Arabian camel,354,0.00203484995290637,water buffalo,346,0.019723843783140182,ox,345,0.12422500550746918,oxcart,690,0.8122581243515015
20,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00000459.JPEG,0.0047868750007182825,crash helmet,518,0.005194223485887051,stretcher,830,0.02341504581272602,sleeping bag,797,0.557770311832428,backpack,414,0.2347838282585144,ski mask,796,0.05124036222696304
21,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00002171.JPEG,0.004610249998222571,violin,889,0.06405287235975266,flute,558,0.06412475556135178,panpipe,699,0.15305596590042114,trombone,875,0.3463388979434967,cornet,513,0.18418827652931213
22,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00007689.JPEG,0.004611707998265047,bell cote,442,0.014289209619164467,pole,733,0.014446068555116653,water tower,900,0.037968382239341736,thatch,853,0.39781397581100464,tile roof,858,0.3193323016166687
23,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00007373.JPEG,0.004429000000527594,mouse,673,0.01854817196726799,desktop computer,527,0.05994457006454468,notebook,681,0.09422576427459717,screen,782,0.027844451367855072,laptop,620,0.6903174519538879
24,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00008086.JPEG,0.004516707998845959,lesser panda,387,0.00568507332354784,sea lion,150,0.005870130844414234,common iguana,39,0.010034037753939629,Komodo dragon,48,0.8898919224739075,otter,360,0.015951892361044884
25,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00002521.JPEG,0.004437207997398218,Siberian husky,250,0.046517711132764816,basenji,253,0.051071248948574066,paper towel,700,0.05236395075917244,Eskimo dog,248,0.07957980781793594,toy terrier,158,0.16837246716022491
26,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00007723.JPEG,0.004450750002433779,sax,776,0.005470631644129753,marimba,642,0.005528997629880905,cornet,513,0.006266358308494091,electric guitar,546,0.02469526417553425,stage,819,0.92792809009552
27,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00006831.JPEG,0.004689749999670312,centipede,79,0.0012203719234094024,cricket,312,0.0015083758626133204,lycaenid,326,0.002384416526183486,leaf beetle,304,0.002635824726894498,harvestman,70,0.9619734883308411
28,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00003760.JPEG,0.004715792001661612,washer,897,0.02144784852862358,toilet tissue,999,0.02809104323387146,strainer,828,0.05709042027592659,brassiere,459,0.028974762186408043,cowboy hat,515,0.1194487139582634
29,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00006098.JPEG,0.004461959000764182,eft,27,0.002718184143304825,ringneck snake,53,0.8340790271759033,centipede,79,0.003589789615944028,thunder snake,52,0.11930681765079498,spotted salamander,28,0.0032758803572505713
30,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00002872.JPEG,0.004471125001145992,African crocodile,49,0.002487927209585905,water ouzel,20,0.9461740851402283,otter,360,0.005213372875005007,American alligator,50,0.002734721638262272,hippopotamus,344,0.0029583422001451254
31,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00006562.JPEG,0.004616833000909537,hornbill,93,0.002229579957202077,goose,99,0.005108219105750322,European gallinule,136,0.0029158571269363165,oystercatcher,143,0.005363025702536106,black swan,100,0.9464078545570374
32,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00009697.JPEG,0.004748166997160297,tarantula,76,0.007656527683138847,dragonfly,319,0.01316511258482933,ptarmigan,81,0.01638645865023136,fly,308,0.036904215812683105,common iguana,39,0.7514147162437439
33,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00008985.JPEG,0.004641833002096973,Christmas stocking,496,0.010007421486079693,hair slide,584,0.011267667636275291,ski mask,796,0.03320559486746788,bonnet,452,0.6955161690711975,jackfruit,955,0.042577218264341354
34,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00003330.JPEG,0.004439291999005945,vulture,23,0.0003274960909038782,hornbill,93,0.0003816422540694475,bald eagle,22,0.9919758439064026,kite,21,0.0028741476126015186,sulphur-crested cockatoo,89,0.0003824744781013578
35,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00006132.JPEG,0.004426125000463799,piggy bank,719,0.011385783553123474,grille,581,0.014133323915302753,toaster,859,0.11025302857160568,pickup,717,0.709172248840332,pencil sharpener,710,0.023951508104801178
36,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00001927.JPEG,0.004687625001679407,Irish wolfhound,170,0.07866593450307846,soft-coated wheaten terrier,202,0.08138364553451538,Norwich terrier,186,0.08677209913730621,Irish terrier,184,0.1453404575586319,cairn,192,0.13157303631305695
37,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00000635.JPEG,0.00443329200061271,basenji,253,0.027206914499402046,Ibizan hound,173,0.10225196182727814,Italian greyhound,171,0.03483579307794571,boxer,242,0.29610365629196167,whippet,172,0.32536259293556213
38,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00002608.JPEG,0.004491500003496185,reel,758,0.004008011426776648,agama,42,0.012643964029848576,stinkhorn,994,0.7598365545272827,ear,998,0.0052911099046468735,Indian cobra,63,0.006808584555983543
39,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00008205.JPEG,0.0045501669992518146,tub,876,0.037084322422742844,barrel,427,0.055832695215940475,rain barrel,756,0.31988492608070374,canoe,472,0.03715863078832626,bucket,463,0.22122985124588013
40,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00005437.JPEG,0.0044724590006808285,bubble,971,0.035661835223436356,ice lolly,929,0.05253024771809578,sunglasses,837,0.12582401931285858,sunglass,836,0.06169820949435234,wig,903,0.0709323063492775
41,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00000265.JPEG,0.004527541997958906,desk,526,0.04425349831581116,espresso maker,550,0.045074790716171265,desktop computer,527,0.10012142360210419,monitor,664,0.1480843424797058,screen,782,0.1675242930650711
42,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00002258.JPEG,0.0044518329996208195,greenhouse,580,0.0012391672935336828,window shade,905,0.0015184947988018394,window screen,904,0.9178072810173035,oscilloscope,688,0.004333839286118746,toucan,96,0.0025896113365888596
43,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00009947.JPEG,0.0042366669986222405,macaque,373,0.004003061912953854,patas,371,0.007226273417472839,spider monkey,381,0.049271270632743835,titi,380,0.2599729895591736,squirrel monkey,382,0.6274405121803284
44,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00008655.JPEG,0.00448270799824968,toilet seat,861,0.03377990052103996,maraca,641,0.04348808899521828,slot,800,0.04364129155874252,comic book,917,0.10076139122247696,shopping basket,790,0.060695622116327286
45,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00005067.JPEG,0.004454750000149943,robin,15,0.0005730044795200229,hatchet,596,0.0008140210993587971,agama,42,0.0012350872857496142,coucal,91,0.979698896408081,bulbul,16,0.0009879430290311575
46,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00003019.JPEG,0.004633958000340499,golf ball,574,0.029920347034931183,bison,347,0.04539518058300018,hay,958,0.33924588561058044,megalith,649,0.08031925559043884,water buffalo,346,0.03151337057352066
47,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00001024.JPEG,0.00448895900262869,ruffed grouse,82,0.02043929137289524,magpie,18,0.027338070794939995,junco,13,0.059405114501714706,bulbul,16,0.10998954623937607,quail,85,0.6568630933761597
48,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00009414.JPEG,0.004546667001704918,marmoset,377,0.026175733655691147,snail,113,0.045533437281847,bathtub,435,0.053886428475379944,chimpanzee,367,0.08138684183359146,tub,876,0.11750733852386475
49,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00004226.JPEG,0.0044877500004076865,black swan,100,0.00045878125820308924,American coot,137,0.0005102873547002673,king penguin,145,0.0008033699123188853,goose,99,0.9850320816040039,drake,97,0.0009238207130692899
50,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00003449.JPEG,0.004438500000105705,lesser panda,387,0.004454761743545532,coyote,272,0.009432709775865078,grey fox,280,0.013190616853535175,red fox,277,0.7301883697509766,kit fox,278,0.1385153979063034
51,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00001474.JPEG,0.004527375000179745,solar dish,807,0.010664576664566994,church,497,0.09915686398744583,dome,538,0.06251812726259232,bell cote,442,0.05529246851801872,tile roof,858,0.6887617707252502
52,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00009044.JPEG,0.0047904170023684856,tennis ball,852,0.001721891574561596,parallel bars,702,0.0026127274613827467,ping-pong ball,722,0.005048002116382122,ballplayer,981,0.006864470895379782,racket,752,0.9664710164070129
53,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00005964.JPEG,0.004474207999010105,projectile,744,0.0011640982702374458,jeep,609,0.0028030311223119497,tank,847,0.84090256690979,half track,586,0.01396750845015049,amphibian,408,0.10728299617767334
54,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00007959.JPEG,0.004435250000824453,solar dish,807,0.017490265890955925,face powder,551,0.029847675934433937,oil filter,686,0.04747224971652031,paintbrush,696,0.2041430026292801,spotlight,818,0.3880557417869568
55,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00004676.JPEG,0.004440500000782777,wooden spoon,910,0.029683629050850868,toilet tissue,999,0.033039625734090805,spatula,813,0.08027683943510056,Band Aid,419,0.6316430568695068,matchstick,644,0.05685025826096535
56,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00004363.JPEG,0.004378417001134949,teddy,850,0.025397703051567078,toilet tissue,999,0.03288457915186882,pug,254,0.049295078963041306,bobsled,450,0.06636583060026169,snowmobile,802,0.03467981517314911
57,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00004699.JPEG,0.004573166999762179,switch,844,0.04151225462555885,spotlight,818,0.04454394429922104,leafhopper,317,0.08071313798427582,bannister,421,0.04788687452673912,matchstick,644,0.14649651944637299
58,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00001161.JPEG,0.004382833998533897,fiddler crab,120,0.000987507519312203,hermit crab,125,0.0019092829897999763,pretzel,932,0.0011488174786791205,thunder snake,52,0.0011569667840376496,starfish,327,0.9548874497413635
59,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00009551.JPEG,0.0045757500010950025,beaver,337,0.006020884029567242,warthog,343,0.030254514887928963,dhole,274,0.020041573792696,hog,341,0.10223127901554108,wild boar,342,0.681979775428772
60,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00005821.JPEG,0.004531583999778377,crayfish,124,0.03256917744874954,earthstar,995,0.036016564816236496,bolete,997,0.11026125401258469,slug,114,0.24281512200832367,stinkhorn,994,0.054012641310691833
61,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00004733.JPEG,0.004432499998074491,Irish terrier,184,0.025465769693255424,basenji,253,0.10420046001672745,Australian terrier,193,0.11994096636772156,miniature pinscher,237,0.200385183095932,quilt,750,0.26734885573387146
62,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00001531.JPEG,0.004441125001903856,king crab,121,0.0032705352641642094,crayfish,124,0.08304163068532944,spiny lobster,123,0.011269092559814453,American lobster,122,0.8172101974487305,cockroach,314,0.004183720797300339
63,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00009101.JPEG,0.004489708997425623,slot,800,0.03338811174035072,oscilloscope,688,0.05106130614876747,shopping cart,791,0.056205131113529205,carpenter's kit,477,0.13277682662010193,sewing machine,786,0.1021304577589035
64,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00005572.JPEG,0.004342459000326926,envelope,549,0.054173361510038376,binder,446,0.0874185711145401,apron,411,0.09311340004205704,pillow,721,0.23009134829044342,handkerchief,591,0.06572422385215759
65,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00001862.JPEG,0.004483332999370759,golden retriever,207,0.05241401866078377,vizsla,211,0.05555963143706322,bloodhound,163,0.13489143550395966,redbone,168,0.1010841503739357,Rhodesian ridgeback,159,0.11411844193935394
66,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00005088.JPEG,0.004456957998627331,anemone fish,393,0.002964216284453869,acorn,988,0.002980779856443405,artichoke,944,0.005717093590646982,cardoon,946,0.011150918900966644,coral fungus,991,0.9270746111869812
67,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00000770.JPEG,0.004505041000811616,space heater,811,0.009535804390907288,drumstick,542,0.010411171242594719,rocking chair,765,0.01062073651701212,matchstick,644,0.03406231477856636,radiator,753,0.7576130628585815
68,/Users/marounel-chayeb/BacArbeit/ILSVRC_val_10000/ILSVRC2012_val_00008340.JPEG,0.004488540998863755,pajama,697,0.030270207673311234,pillow,721,0.05737864971160889,studio couch,831,0.2041732370853424,four-poster,564,0.09363748133182526,quilt,750,0.19537177681922913
